round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
24,0.25004395842552185,0.24992890655994415,100,[64, 64],0.001,0.2,0,0,tanh
42,0.2500021755695343,0.24995578825473785,50,[64, 64],0.001,0.3,0,0.001,tanh
16,0.24939316511154175,0.2502870559692383,100,[64, 64],0.0005,0.3,0.01,0.0001,sigmoid
16,0.24730075895786285,0.25224798917770386,20,[64, 64],0.001,0.1,0,0.001,relu
16,0.24467936158180237,0.25470754504203796,50,[64, 64],0.0005,0.1,0.001,0.0001,sigmoid
16,0.24208173155784607,0.2576562464237213,30,[64, 64],0.0001,0.2,0.01,0.001,tanh
17,0.2396160513162613,0.25965455174446106,50,[64, 64],0.0001,0.2,0.0001,0.01,sigmoid
16,0.2374350130558014,0.2625810205936432,50,[64, 64],1e-05,0.1,0.001,0.0001,relu
16,0.23558717966079712,0.26476502418518066,20,[64, 64],0.001,0.2,0.01,0.001,tanh
19,0.2336256504058838,0.2666301131248474,100,[64, 64],0.001,0.1,0.001,0.0001,tanh
17,0.2321763038635254,0.26846644282341003,50,[64, 64],1e-05,0.2,0,0,tanh
16,0.2310817986726761,0.26991233229637146,50,[64, 64],0.001,0.2,0.01,0.0001,tanh
20,0.2298496812582016,0.27171212434768677,30,[64, 64],1e-05,0.2,0.01,0.01,relu
16,0.22912392020225525,0.27151602506637573,20,[64, 64],1e-05,0.3,0.01,0.0001,tanh
16,0.2284710854291916,0.27258890867233276,100,[64, 64],0.0005,0.1,0.0001,0.0001,relu
29,0.22761979699134827,0.2740952968597412,50,[64, 64],1e-05,0.3,0,0.001,sigmoid
24,0.2271071970462799,0.27584052085876465,20,[64, 64],0.0005,0.3,0,0,tanh
16,0.22688478231430054,0.27472811937332153,100,[64, 64],0.001,0.2,0,0.001,relu
17,0.22665759921073914,0.2751144468784332,100,[64, 64],0.0001,0.2,0.0001,0.0001,sigmoid
36,0.22632232308387756,0.27614638209342957,20,[64, 64],0.0005,0.1,0.001,0.001,sigmoid
24,0.22620084881782532,0.27547338604927063,100,[64, 64],0.0001,0.2,0.01,0.0001,sigmoid
18,0.2261129915714264,0.27642902731895447,20,[64, 64],0.0001,0.3,0.01,0.0001,tanh
19,0.22603659331798553,0.27720797061920166,50,[64, 64],0.001,0.1,0.001,0.01,tanh
