start,end,duration,round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
06/10/22-105620,06/10/22-105640,20.62266516685486,49,0.2092811018228531,0.3884192109107971,30,"[64, 64]",0.001,0.2,0.0,0.001,sigmoid
06/10/22-105641,06/10/22-105806,84.51302218437195,114,0.23332464694976807,0.3010195195674896,100,"[64, 64]",0.0005,0.1,0.001,0.001,tanh
06/10/22-105806,06/10/22-105820,13.532017469406128,19,0.20824851095676422,0.2876909077167511,50,"[64, 64]",0.001,0.3,0.0,0.0,tanh
06/10/22-105820,06/10/22-105839,18.929313898086548,31,0.23696941137313843,0.2680084705352783,50,"[64, 64]",0.001,0.1,0.001,0.0001,relu
06/10/22-105840,06/10/22-110021,100.93616223335266,300,6.98518705368042,6.995416641235352,20,"[64, 64]",1e-05,0.1,0.01,0.0,sigmoid
06/10/22-110021,06/10/22-110401,220.2269310951233,300,0.4474393427371979,0.48895642161369324,100,"[64, 64]",1e-05,0.2,0.0001,0.0001,tanh
06/10/22-110402,06/10/22-110547,105.13210606575012,300,1.687064528465271,1.6875900030136108,20,"[64, 64]",1e-05,0.3,0.001,0.0001,sigmoid
06/10/22-110548,06/10/22-110618,30.734187126159668,53,0.1598263531923294,0.3105495572090149,50,"[64, 64]",0.0005,0.3,0.001,0.001,relu
06/10/22-110619,06/10/22-110852,153.46284222602844,300,2.744425058364868,2.745215892791748,50,"[64, 64]",1e-05,0.2,0.001,0.01,sigmoid
06/10/22-110853,06/10/22-111036,103.72820901870728,300,1.4054031372070312,1.3814315795898438,20,"[64, 64]",1e-05,0.1,0.001,0.001,relu
06/10/22-111037,06/10/22-111054,17.277920246124268,39,0.19047746062278748,0.2983173131942749,30,"[64, 64]",0.001,0.3,0.001,0.0,sigmoid
06/10/22-111055,06/10/22-111146,51.17842411994934,139,0.15015918016433716,0.3783341348171234,30,"[64, 64]",0.0005,0.1,0.001,0.0,tanh
06/10/22-111146,06/10/22-111310,84.11925077438354,172,0.2129526436328888,0.35469070076942444,50,"[64, 64]",0.0005,0.2,0.0001,0.0,tanh
06/10/22-111311,06/10/22-111458,106.68580913543701,300,0.8109234571456909,0.8975620865821838,20,"[64, 64]",0.0001,0.2,0.001,0.01,sigmoid
06/10/22-111458,06/10/22-111821,202.56820702552795,300,0.2907908260822296,0.3997499346733093,100,"[64, 64]",0.0001,0.1,0.01,0.0,tanh
06/10/22-111821,06/10/22-111912,50.58128523826599,127,0.2575705945491791,0.2623077630996704,30,"[64, 64]",0.0005,0.2,0.01,0.01,relu
06/10/22-111912,06/10/22-112011,58.728355169296265,160,0.25057724118232727,0.25285619497299194,20,"[64, 64]",0.0001,0.3,0.01,0.0001,tanh
06/10/22-112011,06/10/22-112204,112.19653654098511,300,0.3731306791305542,0.37853461503982544,30,"[64, 64]",1e-05,0.3,0.0001,0.0001,relu
06/10/22-112204,06/10/22-112433,149.0170886516571,300,0.2937312126159668,0.3070179224014282,50,"[64, 64]",0.0001,0.2,0.0001,0.0,sigmoid
06/10/22-112434,06/10/22-112456,22.269403219223022,50,0.2611728608608246,0.3795054852962494,30,"[64, 64]",0.0005,0.1,0.0,0.0001,relu
06/10/22-112456,06/10/22-112651,114.38321280479431,300,0.2233107089996338,0.2873135209083557,30,"[64, 64]",0.0001,0.3,0.001,0.0001,tanh
06/10/22-112651,06/10/22-112720,29.317641258239746,67,0.1881554275751114,0.32074251770973206,30,"[64, 64]",0.0005,0.2,0.0,0.001,tanh
06/10/22-112721,06/10/22-112847,85.77529644966125,116,0.25395992398262024,0.262307345867157,100,"[64, 64]",0.0005,0.3,0.0,0.0001,sigmoid
