k,hit,std,model
1,0.5981464427336777,0.1179101911850184,1d
1,0.753490071812882,0.027262039834911864,2d
1,0.7419958189393188,0.04101483111238968,deepfm
2,0.7894170582652297,0.06081900717950618,1d
2,0.8063233368081048,0.026270744830037152,2d
2,0.8157328477389139,0.029986419590526846,deepfm
3,0.8562962073254742,0.02057719695913864,1d
3,0.855901796687656,0.029919907127689143,2d
3,0.8648792769067674,0.028810530324425532,deepfm
5,0.9093183325639655,0.027246094227479936,1d
5,0.9208982851318082,0.030488371152530017,2d
5,0.9211693760014676,0.028368011663159883,deepfm
10,0.9685397741701061,0.022091812096876405,1d
10,0.9685397741701061,0.022091812096876405,2d
10,0.968354382994726,0.02279594161495019,deepfm
15,0.979984748952365,0.018099591434454956,1d
15,0.9917500926955877,0.012446432311185638,2d
15,0.9944382647385984,0.007872033276070507,deepfm
20,0.9886911383018169,0.012774514777124362,1d
20,0.9944382647385984,0.007872033276070507,2d
20,0.9944382647385984,0.007872033276070507,deepfm
30,0.9971264367816092,0.006425482693964926,1d
30,0.9971264367816092,0.006425482693964926,2d
30,1.0,0.0,deepfm
